_id,Paises,Número de muertes
{'$oid': '66b6cd3a21c9dc39b2f110ff'},Kirguistán,1.48
{'$oid': '66b6cd3a21c9dc39b2f11100'},Venezuela,1.415
{'$oid': '66b6cd3a21c9dc39b2f11101'},Emiratos Árabes Unidos,1.378
{'$oid': '66b6cd3a21c9dc39b2f11102'},Malasia,1.203
{'$oid': '66b6cd3a21c9dc39b2f11103'},Kuwait,1.148
{'$oid': '66b6cd3a21c9dc39b2f11104'},Zambia,1.148
{'$oid': '66b6cd3a21c9dc39b2f11105'},Montenegro,1.113
{'$oid': '66b6cd3a21c9dc39b2f11106'},Siria,1.085
{'$oid': '66b6cd3a21c9dc39b2f11107'},Malaui,1.078
{'$oid': '66b6cd3a21c9dc39b2f11108'},Senegal,951
{'$oid': '66b6cd3a21c9dc39b2f11109'},Australia,909
{'$oid': '66b6cd3a21c9dc39b2f1110a'},Finlandia,776
{'$oid': '66b6cd3a21c9dc39b2f1110b'},Rep. Dem. del Congo,712
{'$oid': '66b6cd3a21c9dc39b2f1110c'},Mozambique,711
{'$oid': '66b6cd3a21c9dc39b2f1110d'},Estonia,695
{'$oid': '66b6cd3a21c9dc39b2f1110e'},Uruguay,683
{'$oid': '66b6cd3a21c9dc39b2f1110f'},Luxemburgo,675
{'$oid': '66b6cd3a21c9dc39b2f11110'},Yemen,667
{'$oid': '66b6cd3a21c9dc39b2f11111'},Suazliandia,659
{'$oid': '66b6cd3a21c9dc39b2f11112'},Ghana,656
{'$oid': '66b6cd3a21c9dc39b2f11113'},Noruega,639
{'$oid': '66b6cd3a21c9dc39b2f11114'},Uzbekistán,622
{'$oid': '66b6cd3a21c9dc39b2f11115'},Camerún,601
{'$oid': '66b6cd3a21c9dc39b2f11116'},Sri Lanka,520
{'$oid': '66b6cd3a21c9dc39b2f11117'},Angola,517
{'$oid': '66b6cd3a21c9dc39b2f11118'},Baréin,478
{'$oid': '66b6cd3a21c9dc39b2f11119'},Jamaica,475
{'$oid': '66b6cd3a21c9dc39b2f1111a'},Namibia,450
{'$oid': '66b6cd3a21c9dc39b2f1111b'},Mauritania,442
{'$oid': '66b6cd3a21c9dc39b2f1111c'},Botsuana,424
{'$oid': '66b6cd3a21c9dc39b2f1111d'},Cuba,361
{'$oid': '66b6cd3a21c9dc39b2f1111e'},Mali,359
{'$oid': '66b6cd3a21c9dc39b2f1111f'},Malta,341
{'$oid': '66b6cd3a21c9dc39b2f11120'},Somalia,338
{'$oid': '66b6cd3a21c9dc39b2f11121'},Uganda,334
{'$oid': '66b6cd3a21c9dc39b2f11122'},Belice,316
{'$oid': '66b6cd3a21c9dc39b2f11123'},Lesoto,309
{'$oid': '66b6cd3a21c9dc39b2f11124'},Madagascar,300
{'$oid': '66b6cd3a21c9dc39b2f11125'},Ruanda,273
{'$oid': '66b6cd3a21c9dc39b2f11126'},Qatar,265
{'$oid': '66b6cd3a21c9dc39b2f11127'},Haití,250
{'$oid': '66b6cd3a21c9dc39b2f11128'},Chipre,236
{'$oid': '66b6cd3a21c9dc39b2f11129'},Costa de Marfil,209
{'$oid': '66b6cd3a21c9dc39b2f1112a'},Guayana,206
{'$oid': '66b6cd3a21c9dc39b2f1112b'},Hong Kong,203
{'$oid': '66b6cd3a21c9dc39b2f1112c'},Bahamas,185
{'$oid': '66b6cd3a21c9dc39b2f1112d'},Níger,180
{'$oid': '66b6cd3a21c9dc39b2f1112e'},Surinam,176
{'$oid': '66b6cd3a21c9dc39b2f1112f'},Nicaragua,175
{'$oid': '66b6cd3a21c9dc39b2f11130'},Guadalupe,162
{'$oid': '66b6cd3a21c9dc39b2f11131'},Cabo Verde,155
{'$oid': '66b6cd3a21c9dc39b2f11132'},Gambia,153
{'$oid': '66b6cd3a21c9dc39b2f11133'},Chad,151
{'$oid': '66b6cd3a21c9dc39b2f11134'},Comoras,146
{'$oid': '66b6cd3a21c9dc39b2f11135'},Burkina Faso,143
{'$oid': '66b6cd3a21c9dc39b2f11136'},Polinesia Francesa,141
{'$oid': '66b6cd3a21c9dc39b2f11137'},Trinidad y Tobago,140
{'$oid': '66b6cd3a21c9dc39b2f11138'},Congo,131
{'$oid': '66b6cd3a21c9dc39b2f11139'},Mayotte,129
{'$oid': '66b6cd3a21c9dc39b2f1113a'},Andorra,112
{'$oid': '66b6cd3a21c9dc39b2f1113b'},Sudán del Sur,103
{'$oid': '66b6cd3a21c9dc39b2f1113c'},Guinea,101
{'$oid': '66b6cd3a21c9dc39b2f1113d'},Guinea Ecuatorial,98
{'$oid': '66b6cd3a21c9dc39b2f1113e'},Gabón,93
{'$oid': '66b6cd3a21c9dc39b2f1113f'},Togo,93
{'$oid': '66b6cd3a21c9dc39b2f11140'},Gibraltar,93
{'$oid': '66b6cd3a21c9dc39b2f11141'},Tayikistán,90
{'$oid': '66b6cd3a21c9dc39b2f11142'},Guayana Francesa,87
{'$oid': '66b6cd3a21c9dc39b2f11143'},Islas del Canal,86
{'$oid': '66b6cd3a21c9dc39b2f11144'},Tailandia,85
{'$oid': '66b6cd3a21c9dc39b2f11145'},Liberia,85
{'$oid': '66b6cd3a21c9dc39b2f11146'},Benín,81
{'$oid': '66b6cd3a21c9dc39b2f11147'},Sierra Leona,79
{'$oid': '66b6cd3a21c9dc39b2f11148'},Aruba,77
{'$oid': '66b6cd3a21c9dc39b2f11149'},San Marino,77
{'$oid': '66b6cd3a21c9dc39b2f1114a'},Reunión,71
{'$oid': '66b6cd3a21c9dc39b2f1114b'},Maldivas,64
{'$oid': '66b6cd3a21c9dc39b2f1114c'},Yibuti,63
{'$oid': '66b6cd3a21c9dc39b2f1114d'},Rep. Centroafricana,63
{'$oid': '66b6cd3a21c9dc39b2f1114e'},Liechtenstein,55
{'$oid': '66b6cd3a21c9dc39b2f1114f'},Guinea-Bissau,51
{'$oid': '66b6cd3a21c9dc39b2f11150'},Martinica,47
{'$oid': '66b6cd3a21c9dc39b2f11151'},Santa Lucía,47
{'$oid': '66b6cd3a21c9dc39b2f11152'},Barbados,37
{'$oid': '66b6cd3a21c9dc39b2f11153'},Vietnam,35
{'$oid': '66b6cd3a21c9dc39b2f11154'},Santo Tomé y Príncipe,32
{'$oid': '66b6cd3a21c9dc39b2f11155'},Singapur,29
{'$oid': '66b6cd3a21c9dc39b2f11156'},Islandia,29
{'$oid': '66b6cd3a21c9dc39b2f11157'},San Martín,27
{'$oid': '66b6cd3a21c9dc39b2f11158'},Nueva Zelanda,26
{'$oid': '66b6cd3a21c9dc39b2f11159'},Mónaco,26
{'$oid': '66b6cd3a21c9dc39b2f1115a'},Isla de Man,25
{'$oid': '66b6cd3a21c9dc39b2f1115b'},Antigua y Barbuda,25
{'$oid': '66b6cd3a21c9dc39b2f1115c'},Curazao,22
{'$oid': '66b6cd3a21c9dc39b2f1115d'},Papúa Nueva Guinea,21
{'$oid': '66b6cd3a21c9dc39b2f1115e'},Tanzania,21
{'$oid': '66b6cd3a21c9dc39b2f1115f'},Turcas y Caicos,15
{'$oid': '66b6cd3a21c9dc39b2f11160'},PD,13
{'$oid': '66b6cd3a21c9dc39b2f11161'},Isla de San Martín*,12
{'$oid': '66b6cd3a21c9dc39b2f11162'},Islas Bermudas,12
{'$oid': '66b6cd3a21c9dc39b2f11163'},Taiwán,10
{'$oid': '66b6cd3a21c9dc39b2f11164'},Mauricio,10
{'$oid': '66b6cd3a21c9dc39b2f11165'},San Vicente y Granadinas,8
{'$oid': '66b6cd3a21c9dc39b2f11166'},Eritrea,7
{'$oid': '66b6cd3a21c9dc39b2f11167'},Caribe Neerlandés,6
{'$oid': '66b6cd3a21c9dc39b2f11168'},Mongolia,4
{'$oid': '66b6cd3a21c9dc39b2f11169'},Burundi,3
{'$oid': '66b6cd3a21c9dc39b2f1116a'},Brunei,3
{'$oid': '66b6cd3a21c9dc39b2f1116b'},Islas Caimán,2
{'$oid': '66b6cd3a21c9dc39b2f1116c'},Fiyi,2
{'$oid': '66b6cd3a21c9dc39b2f1116d'},Camboya,1
{'$oid': '66b6cd3a21c9dc39b2f1116e'},Bután,1
{'$oid': '66b6cd3a21c9dc39b2f1116f'},Islas Feroe,1
{'$oid': '66b6cd3a21c9dc39b2f11170'},St. Barth,1
{'$oid': '66b6cd3a21c9dc39b2f11171'},Islas Vírgenes Británicas,1
{'$oid': '66b6cd3a21c9dc39b2f11172'},Granada,1
{'$oid': '66b6cd3a21c9dc39b2f11173'},Montserrat,1
